timestamp,gpu_util_pct,torch_alloc_mb,torch_reserved_mb,sys_mem_used_mb,sys_mem_total_mb
2026-05-18T03:19:39+0000,0,0.0,0.0,4474,122479
2026-05-18T03:19:55+0000,67,0.0,0.0,8533,122479
2026-05-18T03:20:10+0000,96,0.0,0.0,8457,122479
2026-05-18T03:20:25+0000,89,0.0,0.0,8562,122479
2026-05-18T03:20:40+0000,95,0.0,0.0,8451,122479
2026-05-18T03:20:55+0000,96,0.0,0.0,8719,122479
2026-05-18T03:21:10+0000,96,0.0,0.0,8586,122479
2026-05-18T03:21:25+0000,96,0.0,0.0,8572,122479
2026-05-18T03:21:40+0000,96,0.0,0.0,8518,122479
2026-05-18T03:21:55+0000,33,0.0,0.0,8470,122479
2026-05-18T03:22:10+0000,53,0.0,0.0,8537,122479
2026-05-18T03:22:25+0000,95,0.0,0.0,8480,122479
2026-05-18T03:22:40+0000,96,0.0,0.0,8742,122479
2026-05-18T03:22:55+0000,96,0.0,0.0,8582,122479
2026-05-18T03:23:10+0000,0,0.0,0.0,8885,122479
2026-05-18T03:23:25+0000,94,0.0,0.0,8612,122479
2026-05-18T03:23:40+0000,68,0.0,0.0,8609,122479
2026-05-18T03:23:56+0000,0,0.0,0.0,8537,122479
2026-05-18T03:24:11+0000,0,0.0,0.0,8495,122479
2026-05-18T03:24:26+0000,96,0.0,0.0,9069,122479
2026-05-18T03:24:41+0000,96,0.0,0.0,8960,122479
2026-05-18T03:24:56+0000,96,0.0,0.0,9746,122479
2026-05-18T03:25:11+0000,96,0.0,0.0,9622,122479
2026-05-18T03:25:26+0000,0,0.0,0.0,9594,122479
2026-05-18T03:25:41+0000,96,0.0,0.0,8912,122479
2026-05-18T03:25:56+0000,38,0.0,0.0,8892,122479
2026-05-18T03:26:11+0000,66,0.0,0.0,8954,122479
2026-05-18T03:26:26+0000,96,0.0,0.0,8868,122479
2026-05-18T03:26:41+0000,60,0.0,0.0,9750,122479
2026-05-18T03:26:56+0000,96,0.0,0.0,9621,122479
2026-05-18T03:27:11+0000,0,0.0,0.0,9247,122479
2026-05-18T03:27:26+0000,60,0.0,0.0,8894,122479
2026-05-18T03:27:41+0000,96,0.0,0.0,8885,122479
2026-05-18T03:27:56+0000,95,0.0,0.0,8120,122479
2026-05-18T03:28:11+0000,0,0.0,0.0,8100,122479
