timestamp,gpu_util_pct,torch_alloc_mb,torch_reserved_mb,sys_mem_used_mb,sys_mem_total_mb
2026-05-17T23:41:22+0000,1,0.0,0.0,4439,122479
2026-05-17T23:41:53+0000,0,0.0,0.0,8383,122479
2026-05-17T23:42:23+0000,95,0.0,0.0,8401,122479
2026-05-17T23:42:53+0000,0,0.0,0.0,8536,122479
2026-05-17T23:43:23+0000,12,0.0,0.0,8481,122479
2026-05-17T23:43:53+0000,79,0.0,0.0,8498,122479
2026-05-17T23:44:23+0000,96,0.0,0.0,8694,122479
2026-05-17T23:44:53+0000,0,0.0,0.0,8240,122479
2026-05-17T23:45:23+0000,96,0.0,0.0,8547,122479
2026-05-17T23:45:53+0000,26,0.0,0.0,8445,122479
2026-05-17T23:46:23+0000,96,0.0,0.0,8900,122479
2026-05-17T23:46:53+0000,96,0.0,0.0,9542,122479
2026-05-17T23:47:23+0000,73,0.0,0.0,8869,122479
2026-05-17T23:47:53+0000,87,0.0,0.0,8943,122479
2026-05-17T23:48:23+0000,0,0.0,0.0,9703,122479
2026-05-17T23:48:53+0000,26,0.0,0.0,9550,122479
2026-05-17T23:49:23+0000,96,0.0,0.0,8844,122479
2026-05-17T23:49:53+0000,75,0.0,0.0,8067,122479
2026-05-17T23:50:23+0000,96,0.0,0.0,8848,122479
2026-05-17T23:50:53+0000,59,0.0,0.0,8806,122479
2026-05-17T23:51:23+0000,0,0.0,0.0,8986,122479
2026-05-17T23:51:53+0000,0,0.0,0.0,9650,122479
2026-05-17T23:52:23+0000,83,0.0,0.0,9044,122479
2026-05-17T23:52:53+0000,96,0.0,0.0,8868,122479
2026-05-17T23:53:23+0000,96,0.0,0.0,8887,122479
2026-05-17T23:53:53+0000,96,0.0,0.0,9587,122479
2026-05-17T23:54:23+0000,96,0.0,0.0,8877,122479
2026-05-17T23:54:54+0000,96,0.0,0.0,8947,122479
2026-05-17T23:55:24+0000,43,0.0,0.0,9642,122479
2026-05-17T23:55:54+0000,96,0.0,0.0,8935,122479
2026-05-17T23:56:24+0000,63,0.0,0.0,8966,122479
2026-05-17T23:56:54+0000,25,0.0,0.0,9634,122479
2026-05-17T23:57:24+0000,96,0.0,0.0,8951,122479
2026-05-17T23:57:54+0000,0,0.0,0.0,8975,122479
2026-05-17T23:58:24+0000,0,0.0,0.0,9419,122479
2026-05-17T23:58:54+0000,96,0.0,0.0,8265,122479
2026-05-17T23:59:24+0000,96,0.0,0.0,12176,122479
2026-05-17T23:59:54+0000,93,0.0,0.0,12429,122479
2026-05-18T00:00:24+0000,96,0.0,0.0,9872,122479
2026-05-18T00:00:54+0000,0,0.0,0.0,7296,122479
2026-05-18T00:01:24+0000,96,0.0,0.0,8514,122479
2026-05-18T00:01:55+0000,0,0.0,0.0,7163,122479
2026-05-18T00:02:25+0000,0,0.0,0.0,7219,122479
2026-05-18T00:02:55+0000,96,0.0,0.0,12529,122479
2026-05-18T00:03:25+0000,0,0.0,0.0,7236,122479
2026-05-18T00:03:55+0000,96,0.0,0.0,12471,122479
2026-05-18T00:04:25+0000,96,0.0,0.0,12491,122479
2026-05-18T00:04:55+0000,0,0.0,0.0,7287,122479
2026-05-18T00:05:25+0000,96,0.0,0.0,8322,122479
2026-05-18T00:05:55+0000,96,0.0,0.0,8434,122479
2026-05-18T00:06:25+0000,0,0.0,0.0,7306,122479
2026-05-18T00:06:55+0000,63,0.0,0.0,8959,122479
2026-05-18T00:07:25+0000,96,0.0,0.0,12296,122479
2026-05-18T00:07:55+0000,0,0.0,0.0,7281,122479
2026-05-18T00:08:25+0000,96,0.0,0.0,12134,122479
2026-05-18T00:08:55+0000,96,0.0,0.0,12054,122479
2026-05-18T00:09:25+0000,0,0.0,0.0,7298,122479
2026-05-18T00:09:55+0000,0,0.0,0.0,7266,122479
2026-05-18T00:10:26+0000,96,0.0,0.0,8323,122479
2026-05-18T00:10:56+0000,0,0.0,0.0,7269,122479
2026-05-18T00:11:26+0000,96,0.0,0.0,8278,122479
2026-05-18T00:11:56+0000,62,0.0,0.0,11908,122479
2026-05-18T00:12:26+0000,0,0.0,0.0,7307,122479
2026-05-18T00:12:56+0000,96,0.0,0.0,12212,122479
2026-05-18T00:13:26+0000,96,0.0,0.0,12277,122479
2026-05-18T00:13:56+0000,0,0.0,0.0,7296,122479
2026-05-18T00:14:26+0000,96,0.0,0.0,12405,122479
2026-05-18T00:14:56+0000,96,0.0,0.0,12434,122479
2026-05-18T00:15:26+0000,0,0.0,0.0,7334,122479
2026-05-18T00:15:56+0000,96,0.0,0.0,11803,122479
2026-05-18T00:16:26+0000,96,0.0,0.0,8698,122479
2026-05-18T00:16:56+0000,96,0.0,0.0,11733,122479
2026-05-18T00:17:27+0000,0,0.0,0.0,7241,122479
2026-05-18T00:17:57+0000,96,0.0,0.0,8313,122479
2026-05-18T00:18:27+0000,48,0.0,0.0,7346,122479
2026-05-18T00:18:57+0000,0,0.0,0.0,7327,122479
2026-05-18T00:19:27+0000,0,0.0,0.0,7333,122479
2026-05-18T00:19:57+0000,96,0.0,0.0,8314,122479
2026-05-18T00:20:27+0000,96,0.0,0.0,8327,122479
2026-05-18T00:20:57+0000,0,0.0,0.0,7396,122479
2026-05-18T00:21:27+0000,96,0.0,0.0,11970,122479
2026-05-18T00:21:57+0000,96,0.0,0.0,8443,122479
2026-05-18T00:22:27+0000,0,0.0,0.0,7382,122479
2026-05-18T00:22:57+0000,96,0.0,0.0,12513,122479
2026-05-18T00:23:27+0000,96,0.0,0.0,10691,122479
2026-05-18T00:23:58+0000,0,0.0,0.0,7405,122479
2026-05-18T00:24:28+0000,64,0.0,0.0,9236,122479
2026-05-18T00:24:58+0000,96,0.0,0.0,8454,122479
2026-05-18T00:25:28+0000,0,0.0,0.0,7327,122479
2026-05-18T00:25:58+0000,96,0.0,0.0,12602,122479
2026-05-18T00:26:28+0000,96,0.0,0.0,12613,122479
2026-05-18T00:26:58+0000,0,0.0,0.0,7359,122479
2026-05-18T00:27:28+0000,80,0.0,0.0,10171,122479
2026-05-18T00:27:58+0000,96,0.0,0.0,8454,122479
2026-05-18T00:28:28+0000,0,0.0,0.0,7396,122479
2026-05-18T00:28:58+0000,96,0.0,0.0,12622,122479
2026-05-18T00:29:28+0000,0,0.0,0.0,7366,122479
2026-05-18T00:29:58+0000,96,0.0,0.0,8533,122479
2026-05-18T00:30:28+0000,94,0.0,0.0,8443,122479
2026-05-18T00:30:58+0000,0,0.0,0.0,7402,122479
2026-05-18T00:31:28+0000,5,0.0,0.0,7456,122479
2026-05-18T00:31:58+0000,0,0.0,0.0,7383,122479
2026-05-18T00:32:29+0000,0,0.0,0.0,7128,122479
2026-05-18T00:32:59+0000,95,0.0,0.0,7941,122479
2026-05-18T00:33:29+0000,7,0.0,0.0,7847,122479
2026-05-18T00:33:59+0000,96,0.0,0.0,10474,122479
2026-05-18T00:34:29+0000,91,0.0,0.0,7716,122479
2026-05-18T00:34:59+0000,0,0.0,0.0,7175,122479
2026-05-18T00:35:29+0000,0,0.0,0.0,7036,122479
2026-05-18T00:35:59+0000,0,0.0,0.0,7082,122479
2026-05-18T00:36:29+0000,96,0.0,0.0,10244,122479
